cod_prod,nom_prod,concent,nom_form_farm,presentac,fraccion,num_reg_san,nom_titular,nom_fabricante,nom_ifa,nom_rubro,situacion
48376.0,ACARIL,10 g + 10 g,Crema,Tubo x 42 g,1.0,EN07130,MEDIFARMA S.A.,MEDIFARMA S.A.,AZUFRE + BENZOATO DE BENCILO,ESPECIALIDAD FARMACEUTICA,ACT
41859.0,ACARIL S,30 %,Loción,Caja Frasco x 60 mL,1.0,EN03404,MEDIFARMA S.A.,MEDIFARMA S.A.,BENZOATO DE BENCILO,ESPECIALIDAD FARMACEUTICA,ACT
58724.0,ACARIL S NF,25 %,Loción,Caja Frasco x 60 mL,1.0,EN03404,MEDIFARMA S.A.,MEDIFARMA S.A.,BENZOATO DE BENCILO,ESPECIALIDAD FARMACEUTICA,ACT
53201.0,ACCOPRIL 20,20 mg,Tableta,Caja Envase Blíster Tableta,100.0,EE08901,ACCORD HEALTHCARE S.A.C.,INTAS PHARMACEUTICALS LIMITED,ENALAPRIL MALEATO,ESPECIALIDAD FARMACEUTICA,ACT
44707.0,ACECNOU 3G,3 g,Granulos para Solución Oral,Caja Sobre x 8 g,1.0,EE03710,FAES FARMA PERU S.A.C.,LABIANA PHARMACEUTICALS S.L.U.,FOSFOMICINA TROMETAMOL,ESPECIALIDAD FARMACEUTICA,ACT
61645.0,ACEMICAD-250,250 mg,Tableta,Caja Envase Blíster Tabletas,30.0,EE13869,DROGUERIA CADILLO S.A.C.,MERIT ORGANICS LTD.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
61646.0,ACEMICAD-250,250 mg,Tableta,Caja Envase Blíster Tabletas,100.0,EE13869,DROGUERIA CADILLO S.A.C.,MERIT ORGANICS LTD.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
30183.0,ACEMUK,2 g/ 100 mL,Granulos para Suspensión Oral,Frasco X 100 mL,1.0,E22661,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA,MEDICAMENTO DE MARCA,ACT
40503.0,ACEMUK 200,200 mg,Comprimido Efervescente,Caja Tubo Comprimidos,10.0,EE02739,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
40502.0,ACEMUK 600,600 mg,Comprimido Efervescente,Caja Tubo Comprimidos,10.0,EE02740,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
44734.0,ACEMUK 600,600 mg,Comprimido Efervescente,Caja Envase Folio Comprimidos Efervescente,20.0,EE02740,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
46604.0,ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido de Disolución Bucal,Caja Envase Blíster Comprimidos de Disolución Bucal,4.0,EE04487,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA,ESPECIALIDAD FARMACEUTICA,ACT
54455.0,ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido de Disolución Bucal,Caja Envase Blíster Comprimidos,20.0,EE04487,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA,ESPECIALIDAD FARMACEUTICA,ACT
57352.0,ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido Para Chupar,Caja Envase Blíster Comprimido Para Chupar,4.0,EE04487,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA,ESPECIALIDAD FARMACEUTICA,ACT
57353.0,ACEMUK L,100 mg + 8 mg + 1 mg,Comprimido Para Chupar,Caja Envase Blíster Comprimido Para Chupar,20.0,EE04487,LABORATORIOS SIEGFRIED S.A.C.,ROEMMERS S.A.I.C.F - ARGENTINA,ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA,ESPECIALIDAD FARMACEUTICA,ACT
62313.0,ACEPOT DUO,5 mg/ 1 mL+ 2 mg/ 1 mL,Suspensión Inyectable,Caja Ampolla x 1 mL,1.0,EN10206,ANSOLAT S.A.C.,FARMACEUTICA OTARVASQ SOCIEDAD ANONIMA CERRADA,BETAMETASONA DIPROPIONATO + BETAMETASONA FOSFATO SODICO,ESPECIALIDAD FARMACEUTICA,ACT
35588.0,ACETAK,250 mg,Tableta,Caja Envase Blister Tabletas,20.0,EN01577,MEDIFARMA S.A.,MEDIFARMA S.A.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
35589.0,ACETAK,250 mg,Tableta,Caja Envase Blister Tabletas,100.0,EN01577,MEDIFARMA S.A.,MEDIFARMA S.A.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
48595.0,ACETALITO,120 mg/ 5 mL,Jarabe,Caja Frasco x 120 mL,1.0,EN05710,LABORATORIOS QUILLA PHARMA PERU S.A.C.,LABORATORIOS PORTUGAL S.R.L.,PARACETAMOL,ESPECIALIDAD FARMACEUTICA,ACT
59329.0,ACETALITO,120 mg/ 5 mL,Solución Oral,Caja Frasco x 120 mL,1.0,EN05710,LABORATORIOS QUILLA PHARMA PERU S.A.C.,LABORATORIOS PORTUGAL S.R.L.,PARACETAMOL,ESPECIALIDAD FARMACEUTICA,ACT
60655.0,ACETATO DE FLUDROCORTISONA,0.1 mg,Tableta,Caja Envase Blíster Tableta,100.0,EE14755,ALVID MEDIC S.A.C.,CENTURION LABORATORIES PVT. LTD.,ACETATO DE FLUDROCORTISONA,ESPECIALIDAD FARMACEUTICA,ACT
60205.0,ACETATO DE MEDROXIPROGESTERONA,150 mg/ mL,Suspensión Inyectable,Caja Vial x 1 mL,1.0,EE14504,OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.,SHREE VENKATESH INTERNATIONAL LTD,MEDROXIPROGESTERONA ACETATO,ESPECIALIDAD FARMACEUTICA,ACT
53763.0,ACETATO DE MEDROXIPROGESTERONA,150 mg/ mL,Suspensión Inyectable,Caja Vial x 1 mL,1.0,EE09534,AGRIPINO SARMIENTO CCOSCCO,CAPLIN POINT LABORATORIES LIMITED,MEDROXIPROGESTERONA ACETATO,ESPECIALIDAD FARMACEUTICA,ACT
49229.0,ACETAZOLAMIDA,250 mg,Tableta,Caja Envase Blister Tableta,10.0,EN00308,LABORATORIOS AC FARMA S.A.,LABORATORIOS AC FARMA S.A.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
35624.0,ACETAZOLAMIDA,250 mg,Tableta,Caja Envase Blister Tabletas,100.0,EN00308,LABORATORIOS AC FARMA S.A.,LABORATORIOS AC FARMA S.A.,ACETAZOLAMIDA,ESPECIALIDAD FARMACEUTICA,ACT
49130.0,ACETILCISTEINA,600 mg,Granulos para Solución Oral,Caja Sobre x 2 g,50.0,EN07233,VITA PHARMA S.A.C.,VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
49991.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Envase Sobres x 2 g,50.0,EN06746,VITA PHARMA S.A.C.,VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
50433.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Envase Sobre x 2 g,1.0,EN06746,VITA PHARMA S.A.C.,VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
51653.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Sobre x 3 g,1.0,EE07314,SANOFI - AVENTIS DEL PERU S.A.,SANOFI - AVENTIS DE COLOMBIA S.A.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
47872.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Sobre x 3 g,30.0,EE07314,SANOFI - AVENTIS DEL PERU S.A.,SANOFI - AVENTIS DE COLOMBIA S.A.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
54697.0,ACETILCISTEINA,600 mg,Polvo para Solución Oral,Caja Sobre x 2.5 g,10.0,EN08709,PERUFARMA S.A.,CIFARMA S.A.C. - LIMA - PERÚ,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
56412.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Sobre x 3 g,1.0,EE07314,GENFAR DEL PERU S.A.C.,SANOFI - AVENTIS DE COLOMBIA S.A.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
56475.0,ACETILCISTEINA,600 mg,Granulos para Solución Oral,Caja Sobre x 3 g,50.0,EN09138,LABORATORIOS AC FARMA S.A.,LABORATORIOS AC FARMA S.A.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
56786.0,ACETILCISTEINA,300 mg/ 3 mL,Solución Inyectable,Caja Ampollas x 3 mL,10.0,EE10521,AGRIPINO SARMIENTO CCOSCCO,CAPLIN POINT LABORATORIES LIMITED,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
55771.0,ACETILCISTEINA,200 mg,Granulos para Solución Oral,Caja Sobre x 3 g,30.0,EE07314,GENFAR DEL PERU S.A.C.,SANOFI - AVENTIS DE COLOMBIA S.A.,ACETILCISTEINA,ESPECIALIDAD FARMACEUTICA,ACT
